Name (extracted)	Citing Article	Citied Article	Features	Analysis_Source	Homepage_URL
RichERE	https://doi.org/10.48550/arXiv.2309.14258	https://www.semanticscholar.org/paper/50d06ea19d514e9d60347b3399214fe54949e64e	The RichERE dataset is primarily used for enhancing event and entity extraction in text, focusing on identifying event types, argument roles, and event triggers. It supports rich event role extraction and detailed semantic analysis, enabling researchers to improve the depth and breadth of information extracted from documents. This dataset facilitates the prediction of event triggers and the extraction of complex relationships, making it valuable for detailed document-level event extraction tasks.	cited_context	
Roles Across Multiple Sentences (Rams)	https://doi.org/10.18653/v1/2021.acl-long.492	https://doi.org/10.18653/v1/2020.acl-main.718	The Roles Across Multiple Sentences (RAMS) dataset is used for multi-sentence argument linking, specifically to connect arguments across multiple sentences. It provides annotations that facilitate the task of identifying and linking event arguments within and across sentences, enabling research in natural language processing focused on coherent event representation and argument structure.; The 'Roles Across Multiple Sentences (RAMS)' dataset is mentioned in research contexts but lacks detailed descriptions of its usage. There is no explicit evidence of its application in document-level event extraction or any specific methodology, research questions, or characteristics. Its actual role in research remains unspecified based on the provided information.	cited_context | citing_context	
SCIERC	https://doi.org/10.18653/v1/2020.acl-main.670	https://doi.org/10.18653/v1/D18-1360	The SCIERC dataset is used for information extraction from scientific article abstracts, focusing on identifying entities, relations, and coreferences to construct scientific knowledge graphs. It supports the annotation of entity mentions, coreference information, and binary relations. The dataset is also used to evaluate and compare model performance on document-level event extraction tasks, particularly in scientific documents.	cited_context	
SciREX	https://doi.org/10.18653/v1/2022.acl-long.274, https://doi.org/10.18653/v1/2020.acl-main.670	https://doi.org/10.18653/v1/P19-1513	The SciREX dataset is primarily used for evaluating and comparing neural models in scientific document information extraction, focusing on tasks such as event extraction, entity recognition, and relation identification. It is employed to train and test models like DyGIE++ and GTT, assessing their performance in handling technical content and document-level tasks. The dataset facilitates research by providing a benchmark for model effectiveness in scientific document processing, highlighting challenges and enabling comparisons across different subtasks.	cited_context	
SemEval shared task training set	https://doi.org/10.18653/v1/2020.acl-main.718	https://doi.org/10.1162/0891201053630264	The SemEval shared task training set is used to highlight the limited scale of datasets for non-local argument annotation, featuring 1,370 frame instantiations over 438 sentences. It serves as a benchmark to illustrate the challenges and constraints in annotating non-local arguments, enabling researchers to assess and develop methods for handling smaller, more complex datasets in natural language processing tasks.	cited_context	
SemEval-2010	https://doi.org/10.18653/v1/2020.acl-main.667	https://www.semanticscholar.org/paper/d8259bcbe9cb0cf5bad6ea25645f4407fc544a1c	The SemEval-2010 dataset is primarily used for evaluating semantic role labeling systems, particularly focusing on identifying implicit arguments for nominal predicates. This dataset supports research in document-level event extraction by providing annotated data that helps assess the performance of systems in recognizing and labeling these implicit arguments, enhancing the accuracy of event extraction tasks.	cited_context	
SemEval-2010 Task 10	https://doi.org/10.18653/v1/2020.acl-main.718	https://doi.org/10.1162/COLI_a_00110	The SemEval-2010 Task 10 dataset is primarily used to study implicit semantic role labeling in narrative contexts, focusing on the identification of non-local arguments in stories. Researchers employ this dataset to develop and evaluate methods for recognizing and labeling these implicit roles, which are crucial for understanding the deeper semantics of narratives. This dataset enables detailed analysis and modeling of complex linguistic structures in storytelling.	cited_context	
TAC KBP	https://doi.org/10.48550/arXiv.2309.14258	https://www.semanticscholar.org/paper/50d06ea19d514e9d60347b3399214fe54949e64e	The TAC KBP dataset is utilized for knowledge base population, specifically for extracting entities, relations, and events from diverse text sources. It is employed to evaluate entity, relation, and event extraction systems, with a focus on handling complex event structures and cross-document coreference. This dataset enables researchers to assess and improve the accuracy and robustness of natural language processing systems in populating structured knowledge bases.	cited_context	
TACRED	https://doi.org/10.18653/v1/P19-1074	https://doi.org/10.18653/v1/D18-1247	The TACRED dataset is primarily used as a benchmark for evaluating sentence-level relation extraction in the context of document-level event extraction. It enables researchers to assess the performance of models in identifying and classifying relationships between entities within sentences. This dataset supports the development and testing of methodologies aimed at improving relation extraction accuracy, which is crucial for advancing natural language processing tasks.	cited_context	
TB-Dense	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2021.findings-emnlp.416	The TB-Dense dataset is used for dense event annotation in narrative texts, particularly in news articles. It enhances the granularity of event extraction by providing detailed event structures and focusing on temporal relations. Researchers employ this dataset to study fine-grained event ordering, which aids in understanding complex narrative sequences and their temporal dynamics.	cited_context	
TCR	https://doi.org/10.48550/arXiv.2309.14258	https://doi.org/10.18653/v1/2021.findings-emnlp.416	The TCR dataset is primarily used for causal relation extraction, focusing on identifying cause-effect relationships in text and between events. It is also applied for temporal relation extraction, specifically to analyze event ordering and duration. This dataset enables researchers to assess and improve algorithms for extracting these relational structures, enhancing the understanding of complex textual data.	cited_context	
Wikidata	https://doi.org/10.18653/v1/P19-1074	https://doi.org/10.3115/1690219.1690287	Wikidata is used in conjunction with Wikipedia documents to align and select articles for human annotation under the distant supervision assumption. This methodology supports the creation of annotated datasets, enabling research in areas such as information extraction and natural language processing. The alignment process leverages the structured data in Wikidata to enhance the accuracy and efficiency of document selection for annotation tasks.	cited_context	
Wikievents	https://doi.org/10.48550/arXiv.2411.08708, https://doi.org/10.1145/3578741.3578768, https://doi.org/10.48550/arXiv.2404.12242 (+3) (+3)	https://doi.org/10.18653/V1/2021.NAACL-MAIN.69	The WikiEvents dataset is primarily used for document-level event extraction, focusing on event detection, entity linking, and argument extraction in Wikipedia articles. Researchers employ it to evaluate and advance conditional generation methods, particularly in overcoming input sequence length limitations. The dataset's 246 documents facilitate detailed analysis and provide data statistics on event and relation distributions, enabling robust performance evaluations and methodological improvements.; The WIKIEVENTS dataset is primarily used for evaluating and training document-level event argument extraction models, particularly focusing on conditional generation techniques. It provides a large-scale resource derived from Wikipedia articles, enabling researchers to assess the effectiveness of role-specific selectors in improving argument classification and linking arguments to events. The dataset includes 59 role types, which are crucial for identifying and disambiguating event arguments, and is often used to measure Argument Head F1 scores, emphasizing the importance of headword matching in argument identification.	cited_context | citing_context	
Wikipedia documents	https://doi.org/10.18653/v1/P19-1074	https://doi.org/10.3115/1690219.1690287	The Wikipedia documents dataset is used to align with Wikidata for selecting documents for human annotation under the distant supervision assumption. This methodology leverages the structured data in Wikidata to identify and annotate relevant documents, facilitating the creation of annotated datasets for various natural language processing tasks.	cited_context	
Wikipedia-based dataset	https://doi.org/10.48550/arXiv.2411.08708	https://doi.org/10.18653/V1/2021.NAACL-MAIN.69	The Wikipedia-based dataset is used to study the distribution of event arguments across sentences, particularly those appearing outside the event trigger sentence. Researchers employ conditional generation methods to analyze these distributions, focusing on how event arguments are spread beyond the immediate context of the event trigger. This approach helps in understanding the structural and contextual aspects of event representation in text.	citing_context	
