Name (extracted)	Citing Article	Citied Article	Features	Analysis_Source	Homepage_URL
Icdar2017 Competition On Layout Analysis For Challenging Medieval Manuscripts	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The ICDAR2017 Competition on Layout Analysis for Challenging Medieval Manuscripts dataset is used to evaluate text line segmentation methods, specifically addressing layout analysis challenges in medieval manuscripts. It provides annotated RGB images for training and testing, focusing on polygonal enclosures of text lines. This dataset enables researchers to assess and improve the accuracy of text line segmentation techniques in complex historical documents.; The ICDAR2017 Competition on Layout Analysis for Challenging Medieval Manuscripts dataset is used to evaluate text-line segmentation methods, focusing on the layout analysis challenges in medieval manuscripts. It provides RGB images with polygonal enclosures of text lines, enabling researchers to develop and test algorithms for accurate text line segmentation in historical documents.	cited_context | citing_context	
KHATT	https://doi.org/10.1109/ICDARW.2019.50110 (2019)	https://doi.org/10.1109/ICDAR.2017.321 (2017)	The KHATT dataset is used to evaluate the performance of various architectures for handwritten text line segmentation, specifically focusing on the F-measure as the evaluation metric. This dataset enables researchers to compare and assess different segmentation techniques, contributing to advancements in the accuracy and efficiency of text line segmentation in historical documents.	cited_context	
Kuzushiji-49	https://doi.org/10.5220/0010330206280634 (2021)	https://doi.org/10.1145/3209280.3229117 (2018)	The Kuzushiji-49 dataset is used to extract and segment deformed Kana characters from historical Japanese texts, focusing on font variations. Deep learning techniques are employed to address the challenges of character recognition in these texts. This dataset enables researchers to improve the accuracy of character extraction and segmentation, enhancing the study and accessibility of historical documents.	citing_context	
layout data set	https://doi.org/10.5220/0010330206280634 (2021)		The layout data set is used to train and evaluate machine learning models for document layout analysis, specifically focusing on text line segmentation tasks and the structure and arrangement of elements in historical documents. This dataset enables researchers to construct and publicly release high-quality resources, facilitating advancements in the automated analysis of historical documents.	citing_context	
LOB corpus	https://www.semanticscholar.org/paper/b34f0a67491539b0eb73436367712255ca3fa1b4 (2008)	https://doi.org/10.1109/CNNA.2002.1035077 (2002)	The LOB corpus is used to conduct experiments on text line segmentation in historical documents, particularly focusing on handwriting recognition. Researchers employ the MatCNN simulator to analyze and process the dataset, enabling the development and evaluation of algorithms for improving the accuracy of text line segmentation in historical handwritten texts.	cited_context	
Maurdor	https://doi.org/10.1007/s10032-022-00395-7 (2022), https://doi.org/10.1109/ICDAR.2019.00088 (2019)	https://doi.org/10.1109/ICASSP.2014.6854572 (2014)	The Maurdor dataset is used to evaluate and improve text line segmentation accuracy in scanned historical documents. It focuses on enhancing the performance of box detection and document region segmentation algorithms, particularly in multilingual and mixed-content documents. This dataset enables researchers to test and refine techniques that increase the robustness and precision of text line segmentation, addressing challenges in historical document analysis.; The Maurdor dataset is used to evaluate box detection in scanned historical documents, specifically focusing on enhancing the accuracy of text line segmentation. Researchers employ this dataset to test and refine algorithms aimed at improving the precision of identifying and segmenting text lines within historical documents. This enables more reliable and efficient processing of historical texts for various applications, such as digitization and archival projects.	cited_context | citing_context	
NIST special database	https://www.semanticscholar.org/paper/b34f0a67491539b0eb73436367712255ca3fa1b4 (2008)	https://doi.org/10.1109/DICTA.2005.42 (2005)	The NIST special database is used to test methods for text line segmentation in handwritten documents. It consists of 30 images with 34 text boxes from 2100 forms, scanned at 300 pixels/inch in binary format. This dataset enables researchers to evaluate and refine algorithms for accurately segmenting text lines in historical documents, focusing on improving the precision and reliability of text extraction techniques.	cited_context	
PAGE	https://doi.org/10.1109/ICDARW.2019.50109 (2019)	https://doi.org/10.1109/ICPR.2010.72 (2010)	The PAGE dataset is used to provide ground truth annotations in XML format for evaluating text line segmentation algorithms in historical documents. It focuses on precise labeling to validate and improve the accuracy of these algorithms, ensuring reliable text line segmentation in digitized historical texts.	citing_context	
PAGE XML	https://doi.org/10.1007/978-3-030-68787-8_9 (2021)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The PAGE XML dataset is used to provide ground truth data in baseline and bounding polygon formats for layout analysis in challenging medieval manuscripts. It supports text line segmentation tasks by offering precise annotations, enabling researchers to evaluate and improve algorithms for processing historical documents.	cited_context	
Parzival Database	https://doi.org/10.1109/DAS.2018.38 (2017)	https://doi.org/10.1145/2037342.2037348 (2011)	The Parzival Database, as part of IAM-HistDB, is utilized to test text line segmentation algorithms on historical German texts. This dataset enables researchers to evaluate and improve the accuracy of text line segmentation techniques specifically for historical documents, contributing to the development of more effective historical text processing methodologies.	cited_context	
PRHLT-17	https://doi.org/10.1109/icfhr-2018.2018.00069 (2018)	https://doi.org/10.1145/3103010.3121037 (2017)	The PRHLT-17 dataset is used for training and evaluating baseline detection algorithms on Arabic handwritten documents, specifically to improve the accuracy of text line segmentation. This dataset enables researchers to develop and test algorithms that enhance the precision of segmenting text lines in historical Arabic documents, addressing the challenge of accurately isolating individual lines of text.	citing_context	
READ-BAD	https://doi.org/10.24963/ijcai.2018/147 (2018)	https://doi.org/10.1109/DAS.2018.38 (2017)	The READ-BAD dataset is used to evaluate baseline detection methods in archival documents, specifically focusing on the accuracy of identifying text line start and end points. This dataset enables researchers to assess and improve the precision of text line segmentation techniques, which is crucial for enhancing the readability and accessibility of historical documents.	citing_context	
READ-Complex	https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.1109/ICFHR2020.2020.00025 (2020)	The READ-Complex dataset is employed to test text line segmentation algorithms on challenging historical documents, particularly those with complex layouts and low-quality images. This dataset enables researchers to evaluate and improve the robustness of their algorithms in handling difficult conditions, thereby advancing the accuracy of text line segmentation in historical document analysis.	cited_context	
READ-Simple	https://doi.org/10.1007/s10032-022-00395-7 (2022)	https://doi.org/10.1109/ICFHR2020.2020.00025 (2020)	The READ-Simple dataset is utilized for benchmarking text line segmentation models on simpler historical documents. It provides a baseline for performance evaluation, enabling researchers to compare the effectiveness of different models in segmenting text lines. This dataset supports the development and refinement of text line segmentation techniques by offering a standardized test environment.	cited_context	
Read1	https://doi.org/10.1109/ICDAR.2019.00066 (2019)	https://doi.org/10.1109/ICDAR.2017.222 (2017)	The READ1 dataset is used to evaluate the performance and accuracy of text line segmentation methods in historical documents. It specifically assesses the detection of baselines and text lines in challenging historical documents, enabling researchers to compare and refine their algorithms for better segmentation outcomes.; The READ1 dataset is used to evaluate methods for text line segmentation in historical documents, focusing on performance and accuracy across diverse document types. Researchers employ this dataset to assess the effectiveness of their proposed techniques, ensuring they can handle the variability found in historical texts. This dataset enables rigorous testing and comparison of segmentation algorithms, contributing to advancements in historical document analysis.	cited_context | citing_context	
Saint Gall Database	https://doi.org/10.1109/DAS.2018.38 (2017)	https://doi.org/10.1145/2037342.2037348 (2011)	The Saint Gall Database, as part of IAM-HistDB, is used to assess text line segmentation techniques in medieval manuscripts, particularly focusing on script and layout variations. It evaluates the accuracy of these techniques in medieval Latin manuscripts, enabling researchers to refine and compare different segmentation methods.	cited_context	
Southeast Asian palm leaf manuscript images	https://doi.org/10.1109/DAS.2018.38 (2017)	https://doi.org/10.1145/2037342.2037348 (2011)	The Southeast Asian palm leaf manuscript images dataset is used to explore text line segmentation in non-Western historical documents. Researchers employ this dataset to develop and test algorithms for accurately segmenting text lines in these unique manuscripts, addressing challenges specific to their physical and textual characteristics. This enables more effective digitization and analysis of historical Southeast Asian texts.	cited_context	
text line segmentation dataset	https://doi.org/10.1109/ICFHR-2018.2018.00050 (2018)	https://doi.org/10.1109/ICDAR.2007.127 (2007)	The 'text line segmentation dataset' is used to evaluate the accuracy and performance of text line extraction algorithms on 350 handwritten document images. Researchers employ this dataset to test and refine their methods, focusing on improving the precision of text line segmentation in historical documents. This dataset enables the development and validation of algorithms designed to handle the complexities of handwritten text, enhancing the reliability of automated text processing in historical document analysis.	cited_context	
Three Medieval Manuscripts	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICDAR.2017.223 (2017)	The 'three medieval manuscripts' dataset is used to evaluate layout analysis methods, particularly in manuscripts with high complexity in layout and structure. Researchers focus on assessing the effectiveness of these methods in accurately analyzing and understanding the intricate design elements of medieval documents. This dataset enables the testing and refinement of computational tools designed to handle the unique challenges posed by historical texts.; The 'three medieval manuscripts' dataset is used for layout analysis in challenging medieval documents, particularly focusing on high complexity layouts. Researchers employ this dataset to improve text line segmentation techniques, addressing the intricate and varied layouts found in historical manuscripts. This dataset enables the development and testing of advanced algorithms to handle the unique challenges of medieval text structures.	cited_context | citing_context	
Transkribus Baseline Evaluation Scheme (TBES)	https://doi.org/10.1145/3476887.3476905 (2021)	https://doi.org/10.1109/ICDAR.2017.307 (2017)	The Transkribus Baseline Evaluation Scheme (TBES) dataset is used to evaluate text line segmentation algorithms in historical documents. It provides standardized metrics and protocols for assessing algorithm performance, enabling researchers to compare different methods systematically. This dataset facilitates the development and refinement of text line segmentation techniques by offering a consistent benchmark for performance evaluation.	cited_context	
UPTI data set	https://doi.org/10.1109/ACCESS.2017.2703155 (2017)	https://doi.org/10.1109/ICDAR.2011.257 (2011)		cited_context	
VML-AHTE	https://doi.org/10.1007/978-3-030-86331-9_34 (2021)	https://doi.org/10.1007/978-3-030-68787-8_9 (2021)	The VML-AHTE dataset is used to evaluate text line segmentation methods in Arabic handwritten documents. It focuses on addressing the challenges posed by crowded diacritics and cramped text lines, enabling researchers to test and improve algorithms designed to handle these specific issues in historical document analysis.	citing_context	
VML-HD	https://doi.org/10.1145/3352631.3352648 (2019)	https://doi.org/10.1109/ICFHR.2016.0093 (2016)	The VML-HD dataset is used for developing recognition systems in historical Arabic documents, specifically focusing on explicit pixel labeling for text line segmentation. This methodology involves precise identification and separation of text lines, enabling more accurate and reliable processing of historical documents. The dataset's detailed pixel-level annotations facilitate robust training and evaluation of segmentation algorithms, enhancing the overall performance of text recognition systems in this domain.	cited_context	
WAHAD Database	https://doi.org/10.1109/ICDAR.2019.00194 (2019)	https://doi.org/10.1109/ICFHR.2010.120 (2010)	The WAHAD Database is utilized to test text line segmentation algorithms on a diverse set of handwritten historical documents. It highlights the algorithm's ability to handle variability in writing styles and assesses robustness in segmenting challenging, difficult-to-read texts. This dataset enables researchers to evaluate and improve the performance of segmentation techniques in historical document analysis.	cited_context	
