Analysis_Source	Name (extracted)	Citing Article	Citied Article	Features	Name_Variants	Homepage_URL
cited_context	GoPro dataset	https://doi.org/10.1007/978-3-031-20071-7_4 (2021), https://doi.org/10.48550/arXiv.2310.10123 (2023), https://doi.org/10.48550/arXiv.2301.11699 (2023) (+11)	https://doi.org/10.1109/CVPR.2017.35 (2016)	The GoPro dataset is primarily used for evaluating and training deblurring algorithms, particularly in dynamic scenes with camera shake and motion blur. It features 2103 blurry/sharp image pairs for training and 1111 pairs for evaluation. Researchers use it to assess the performance of various models, including multi-scale convolutional neural networks, in tasks such as single-image and video deblurring, focusing on quantitative metrics like PSNR and visual quality improvements.		
cited_context	GoPro test dataset	https://doi.org/10.48550/arXiv.2208.05244 (2022)	https://doi.org/10.1109/CVPR.2017.35 (2016)	The GoPro test dataset is used to evaluate and compare the performance of deblurring methods, particularly in dynamic scenes. It focuses on assessing quantitative metrics and visual quality, enabling researchers to measure image restoration accuracy and overall performance against state-of-the-art techniques. This dataset supports the development and validation of advanced deblurring algorithms by providing a standardized benchmark for image quality and restoration.		
citing_context	GoPro test set	https://doi.org/10.48550/arXiv.2310.10123 (2023), https://doi.org/10.48550/arXiv.2405.15475 (2024), https://doi.org/10.1007/978-3-031-72764-1_1 (2024) (+1)	https://doi.org/10.1109/CVPR.2017.35 (2016)	The GoPro test set is primarily used for evaluating and comparing the performance of image restoration methods, particularly in motion deblurring. It consists of 2103 training and 1111 testing images, enabling researchers to assess the effectiveness of algorithms in removing motion blur and handling noise (σ=25) in dynamic scenes. This dataset facilitates the development and benchmarking of deep learning models, such as multi-scale convolutional neural networks, for high-resolution image restoration tasks.		
cited_context	GoPro testset	https://www.semanticscholar.org/paper/6af728164e4424218967fd356b3448f5037acd88 (2023)	https://doi.org/10.1109/CVPR.2017.35 (2016)	The GoPro testset is used to evaluate the computational costs and performance metrics of motion deblurring methods in dynamic scenes. It focuses on assessing the efficiency of various deblurring techniques, enabling researchers to compare and optimize algorithms for real-world applications. The dataset's characteristics support rigorous testing of these methods under realistic conditions.		
cited_context	GoPro-test	https://doi.org/10.1109/CVPR.2019.00717 (2019)	https://doi.org/10.1109/CVPR.2017.35 (2016)	The GoPro-test dataset is used to evaluate the performance of the DuRNU model for dynamic scene deblurring. It facilitates comparisons against state-of-the-art methods, focusing on the effectiveness of deblurring techniques in dynamic scenes. This dataset enables researchers to assess and validate the model's capabilities in enhancing image clarity in motion-blurred images.		
cited_context | citing_context	Gta5	https://doi.org/10.1109/TCSVT.2024.3429557 (2024), https://doi.org/10.1109/TIP.2025.3572788 (2025), https://doi.org/10.1109/TPAMI.2024.3419007 (2024), https://doi.org/10.1109/TCSVT.2024.3429557 (2024), https://doi.org/10.24963/ijcai.2024/80 (2024)	https://doi.org/10.1145/3394171.3413763 (2020), https://doi.org/10.1007/978-3-030-58610-2_28 (2020)	The GTA5 dataset is primarily used for dehazing research, particularly in synthetic nighttime dehazing tasks. It provides synthetic nighttime hazy images that are utilized for both training and evaluating methods. The dataset's focus on complex lighting conditions and urban scenes enables researchers to test the robustness of dehazing algorithms in challenging environments.; The GTA5 dataset is primarily used in research for evaluating nighttime dehazing algorithms. It provides synthetic nighttime hazy images, which are utilized to test and assess the performance of image restoration methods, particularly in simulated urban environments. Researchers employ this dataset to demonstrate improvements in dehazing results and overall image quality, focusing on synthetic benchmark performance.	GTA5	
cited_context	H-LSS	https://doi.org/10.1109/TGRS.2024.3378828 (2024)	https://doi.org/10.1109/LGRS.2017.2771212 (2017)	The H-LSS dataset is primarily used for hyperspectral image reconstruction, employing methodologies such as compressive sensing and tensor decomposition. This dataset enables researchers to address challenges in efficiently reconstructing high-dimensional hyperspectral images from compressed measurements, enhancing the quality and resolution of the reconstructed images. The dataset's characteristics support advanced signal processing techniques, making it valuable for improving the accuracy and efficiency of hyperspectral imaging applications.		
cited_context | citing_context	Hair	https://doi.org/10.48550/arXiv.2410.15067 (2024)	https://doi.org/10.48550/arXiv.2401.13221 (2024)	The HAIR dataset is used to evaluate hybrid adaptive and hybrid image restoration techniques, focusing on the combination of multiple restoration approaches. It enables researchers to assess the effectiveness of integrating various methods in image restoration, enhancing the robustness and adaptability of restoration algorithms.; The HAIR dataset is used for high-quality image restoration, with a focus on preserving fine details and textures in high-resolution images. It is employed to test both single and hybrid restoration techniques, enabling researchers to evaluate and combine multiple methods to achieve superior image restoration outcomes.	HAIR	
cited_context	Haze4K	https://doi.org/10.48550/arXiv.2305.17863 (2023), https://doi.org/10.1109/TPAMI.2024.3419007 (2024), https://doi.org/10.48550/arXiv.2308.09388 (2023) (+1)	https://doi.org/10.1145/3474085.3475331 (2021)	The Haze4K dataset is primarily used for evaluating and comparing dehazing algorithms, particularly in high-resolution synthetic and real-world images. It contains 4,000 hazy images, enabling researchers to assess the effectiveness, performance, and robustness of dehazing techniques in both daytime and nighttime conditions. The dataset supports visual comparisons and benchmarking, focusing on ultra-high-definition images and realistic synthetic haze conditions.		
cited_context	HDR dataset from the NTIRE2021 Multi-Frame HDR Challenge	https://doi.org/10.1109/CVPR52729.2023.00958 (2023)	https://doi.org/10.1109/TPAMI.2021.3126387 (2021)	The HDR dataset from the NTIRE2021 Multi-Frame HDR Challenge is used to evaluate HDR recovery methods, particularly for comparing HDR-GDP-x0 with other state-of-the-art HDR techniques. It involves testing on 100 randomly selected scenes, enabling researchers to assess the performance and effectiveness of different HDR algorithms in recovering high dynamic range images from multiple low dynamic range frames.		
cited_context | citing_context	Hide	https://doi.org/10.48550/arXiv.2410.15385 (2024), https://doi.org/10.48550/arXiv.2410.15067 (2024), https://doi.org/10.1109/CVPR52733.2024.00277 (2023) (+4), https://www.semanticscholar.org/paper/6af728164e4424218967fd356b3448f5037acd88 (2023), https://doi.org/10.1007/978-3-031-20071-7_4 (2021), https://doi.org/10.1109/TPAMI.2023.3330416 (2023) (+14)	https://doi.org/10.1109/ICCV.2019.00567 (2019)	The HIDE dataset is used for evaluating and testing image restoration methods, particularly in high-resolution image restoration tasks. It assesses performance across diverse image degradation scenarios, including real-world motion blur, haze, and noise. The dataset supports research on deblurring, haze removal, and generalization in image restoration, featuring synthetic and real distortions. It enables researchers to validate the effectiveness of their algorithms in handling complex and varied image degradations.; The HIDE dataset is primarily used for evaluating and comparing image restoration models, particularly in the areas of deblurring and denoising. It features a large collection of high-resolution images with varying degrees of blur and noise, enabling researchers to assess model performance on diverse and challenging real-world scenarios. The dataset supports the evaluation of techniques such as DiffIR, human-aware motion deblurring, and the Test-time Local Converter, focusing on robustness, generalization, and reducing train-test inconsistencies. It also facilitates numerical comparisons and performance metrics in dynamic scene deblurring and synthetic image deblurring, providing realistic blur synthesis for both training and testing.	HIDE	
cited_context	HMDD	https://doi.org/10.1109/CVPRW56347.2022.00069 (2022)	https://doi.org/10.1109/CVPR.2018.00259 (2018)	The HMDD dataset is utilized in image restoration research to integrate multiple distortion scenarios, providing a comprehensive resource that generalizes previous multi-degraded datasets. This integration allows researchers to address a broader range of image degradation issues, enhancing the robustness and versatility of image restoration models. The dataset's diverse and inclusive nature supports the development of more generalized and effective restoration algorithms.		
citing_context	Houston University	https://doi.org/10.48550/arXiv.2503.09131 (2025)		The Houston University dataset is used to evaluate all-in-one image restoration methods, particularly focusing on the effectiveness of partitioning strategies in urban areas. This dataset enables researchers to assess how well these methods perform in complex urban environments, providing insights into the practical applicability of image restoration techniques.		
cited_context	HQ-50K	https://doi.org/10.48550/arXiv.2306.05390 (2023)	https://doi.org/10.1109/CVPRW.2017.150 (2017)	The HQ-50K dataset is primarily used for high-quality image restoration tasks. It is utilized to compare the dataset's size and resolution with other datasets, emphasizing its suitability for image restoration. Researchers use it to train and evaluate models, focusing on performance metrics and comparing results with benchmarks like DIV2K. The dataset's large scale and high resolution are key characteristics that enable these comparisons and evaluations.		
cited_context | citing_context	Hsts	https://doi.org/10.1109/TCSVT.2023.3299324 (2024), https://doi.org/10.1109/TCSVT.2023.3299324 (2024), https://www.semanticscholar.org/paper/0c291c421fb11b5b27e2d3526efb2353d88c27a8 (2023)	https://doi.org/10.1109/CVPR.2018.00079 (2018), https://doi.org/10.1016/j.patrec.2018.01.010 (2018)	The HSTS dataset is used for training and evaluating haze removal algorithms, specifically focusing on synthetic hazy images with varying conditions. This dataset enables researchers to test the robustness and effectiveness of their algorithms across different haze scenarios, contributing to advancements in image dehazing techniques.; The HSTS dataset is used for training and evaluating image restoration algorithms, particularly for deraining and dehazing. It includes high-quality synthetic rain images and a mix of synthetic and real-world hazy images, enabling researchers to benchmark and compare the performance of different methods in both controlled and real-world scenarios.	HSTS	
cited_context	https://github.com/rwenqi/GFNdehazing	https://doi.org/10.1109/CVPR.2019.00717 (2019)	https://doi.org/10.1109/CVPR.2018.00343 (2018)	The dataset from 'https://github.com/rwenqi/GFNdehazing' is used to provide images for dehazing experiments. Specifically, these images are fed into a convolutional encoder-decoder network to estimate the ground truth image. This approach helps researchers evaluate and improve dehazing algorithms by providing a standardized set of images for testing and validation.		
citing_context	Hybrid Subjective Testing Set (HSTS)	https://doi.org/10.1109/TCSVT.2024.3519352 (2025)	https://doi.org/10.1109/TIP.2018.2867951 (2017)	The Hybrid Subjective Testing Set (HSTS) is used for subjective evaluation of dehazing results, integrating both synthetic and real-world images to assess visual quality. This dataset enables researchers to evaluate and compare the effectiveness of dehazing algorithms by providing a diverse set of images that reflect various real-world conditions and synthetic scenarios.		
cited_context	HYDICE DC Mall data	https://doi.org/10.1109/ICCVW.2019.00477 (2019)	https://doi.org/10.1109/JSTARS.2014.2329322 (2014)	The HYDICE DC Mall data is used to evaluate the performance of denoising algorithms by adding synthetic Gaussian noise (σ = 100) and assessing the algorithm's effectiveness in removing it. This dataset enables researchers to test and validate denoising methodologies, focusing on the improvement of image quality in noisy conditions.		
cited_context	Hypersim	https://doi.org/10.48550/arXiv.2409.15278 (2024)	https://www.semanticscholar.org/paper/c6e57b2d36a4231cef82d7e0e27413ae4bb4dee5 (2020)	The Hypersim dataset is used for holistic indoor scene understanding, leveraging photorealistic synthetic data to train and evaluate image restoration models. It provides a rich set of annotations and high-quality images, enabling researchers to address complex challenges in scene understanding and image restoration within indoor environments.		
cited_context | citing_context	I-Haze	https://doi.org/10.48550/arXiv.2503.09403 (2025), https://doi.org/10.1109/TCSVT.2024.3429557 (2024), https://doi.org/10.1109/TCSVT.2024.3519352 (2025), https://doi.org/10.1109/TPAMI.2024.3419007 (2024), https://doi.org/10.1109/TCSVT.2024.3429557 (2024)	https://doi.org/10.1109/CVPRW.2018.00119 (2018), https://doi.org/10.1007/978-3-030-01449-0_52 (2018)	The I-Haze dataset is used for evaluating dehazing algorithms by providing 10 paired low-quality and high-quality images, as well as real-world hazy and haze-free indoor images. It is employed in dehazing experiments to test the robustness and performance of dehazing algorithms, particularly in the context of all-in-one image restoration models. The dataset's real-world images enable researchers to assess the effectiveness of their methods in practical scenarios.; The I-Haze dataset is used to test and benchmark dehazing algorithms on real indoor hazy and haze-free images. It serves as a critical resource for evaluating dehazing performance in indoor scenarios, providing researchers with a standardized set of real-world images to assess algorithm effectiveness. This dataset enables the comparison of different dehazing models, facilitating advancements in image restoration techniques for indoor environments.	I-Haze	
cited_context	ICB	https://doi.org/10.1109/CVPRW63382.2024.00645 (2024)	https://doi.org/10.1109/CVPRW.2017.151 (2017)	The ICB dataset is used to evaluate and benchmark image restoration and compression techniques. It focuses on assessing the performance of methods like PromptCIR on image restoration quality at various factors (10, 20, 30, 40) and examines the impact of compression on image restoration and artifact reduction. This dataset enables researchers to compare and refine algorithms for enhancing image quality and reducing artifacts in restored images.		
cited_context | citing_context	Imagenet	https://doi.org/10.48550/arXiv.2411.17687 (2024), https://doi.org/10.48550/arXiv.2412.00878 (2024), https://doi.org/10.1109/CVPR52729.2023.00958 (2023), https://doi.org/10.48550/arXiv.2306.02342 (2023) (+14)	https://doi.org/10.1109/CVPR.2009.5206848 (2009)	The ImageNet dataset is primarily used to pre-train transformer encoders, which enhances their feature extraction capabilities. This pre-training focuses on improving generalization for image restoration tasks. The dataset's large scale and diverse image content enable researchers to develop models that perform well across various restoration challenges, leveraging the rich feature representations learned from ImageNet.; ImageNet is used in research to evaluate and improve image restoration techniques, including super-resolution and deblurring. It serves as a pre-training dataset for models like diffusion models and vision transformers, enhancing their performance in image restoration tasks. The dataset's large-scale, diverse, and high-quality images provide a robust foundation for training and validating these models, enabling researchers to achieve better restoration outcomes and richer semantic representations.	ImageNet	
cited_context	ImageNet 1K	https://doi.org/10.48550/arXiv.2308.09388 (2023), https://www.semanticscholar.org/paper/3d3c5fcbc40aadccceda58d3d9c5cd00588ea0b7 (2022), https://doi.org/10.1109/CVPRW59228.2023.00178 (2023)	https://doi.org/10.1109/ICCV.2015.425 (2014)	The ImageNet 1K dataset is primarily used for evaluating and comparing image restoration techniques, particularly in super-resolution and deblurring tasks. It provides a large-scale, diverse set of images that enable researchers to assess model performance across various categories. Studies use it to test 4x super-resolution models, evaluate zero-shot methods, and compare different approaches like DGP, RED, and SNIPS, focusing on image quality and restoration performance without noise.		
cited_context	ImageNet ctest10k	https://doi.org/10.1145/3528233.3530757 (2021)	https://doi.org/10.1007/978-3-319-46493-0_35 (2016)	The ImageNet ctest10k dataset is primarily used for benchmarking the performance of various image restoration and translation models. It is employed to evaluate colorization tasks, comparing the Palette model against other methods, and to assess image-to-image translation tasks, focusing on model performance across different scenarios. Additionally, it is used to benchmark image inpainting models like DeepFillv2 and HiFill, particularly on ultra high-resolution images. This dataset serves as a standardized test set, enabling researchers to compare and validate the effectiveness of their models in specific image processing tasks.		
cited_context	ImageNet-50K	https://doi.org/10.48550/arXiv.2306.05390 (2023)		The ImageNet-50K dataset is used to evaluate the performance of DAMoE, specifically focusing on image restoration quality and efficiency. It serves as a benchmark to compare different methods, ensuring that the restoration processes are both effective and computationally efficient. The dataset's large scale and diverse image content enable robust testing and validation of image restoration techniques.		
citing_context	ImageNet-C	https://doi.org/10.48550/arXiv.2406.18242 (2024)	https://www.semanticscholar.org/paper/49b64383fe36268410c430352637ed23b16820c5 (2019)	ImageNet-C is used to benchmark the robustness of neural networks against common corruptions and perturbations, particularly during the pre-training stage. Researchers adjust the intensity of degradation in images to systematically evaluate how well models withstand various types of image corruption. This dataset enables the assessment and improvement of model resilience in real-world conditions.		
cited_context	ImageNet-Test	https://doi.org/10.1109/TPAMI.2024.3461721 (2024)	https://doi.org/10.1109/CVPR.2009.5206848 (2009)	The ImageNet-Test dataset, comprising 3000 randomly selected images from the validation set, is primarily used for synthetic testing in image restoration research. It serves as a benchmark to evaluate the performance of restoration algorithms under controlled conditions. This dataset enables researchers to assess the effectiveness of their methods by providing a standardized set of images for consistent testing and comparison.		
cited_context	ImageNet/CVF	https://doi.org/10.48550/arXiv.2310.10513 (2023)	https://doi.org/10.1109/CVPR.2009.5206848 (2009)	The ImageNet/CVF dataset is used to extract crude images for Masked Autoencoder (MAE) training and to stitch paired images for inference, specifically focusing on image restoration techniques. This dataset facilitates the development and evaluation of methods aimed at restoring degraded images, leveraging its extensive collection of visual data.		
cited_context	Indoor Training Set	https://doi.org/10.1145/3664647.3680762 (2024)	https://doi.org/10.1109/CVPR.2017.183 (2016)	The Indoor Training Set, part of the RESIDE dataset, is used for dehazing indoor scenes to enhance visibility and clarity. This dataset supports research focused on image dehazing techniques, employing methodologies aimed at improving the visual quality of indoor images by removing haze effects. It enables researchers to develop and evaluate algorithms that restore clear images from hazy ones, addressing specific challenges in indoor environments.		
cited_context | citing_context	Indoor Training Set (Its)	https://doi.org/10.1109/TCSVT.2024.3519352 (2025), https://www.semanticscholar.org/paper/4b688c486f2b223212682fd2b3f72cc0caa94b1b (2023)	https://doi.org/10.1109/TIP.2018.2867951 (2017)	The Indoor Training Set (ITS) is used for training dehazing models on indoor scenes. It provides a diverse set of synthetic images with known ground truth, enabling researchers to develop and evaluate dehazing algorithms effectively. The dataset's synthetic nature and ground truth data facilitate the assessment of model performance in various indoor conditions.; The Indoor Training Set (ITS) is used to train models for single-image dehazing, specifically containing 13,990 hazy indoor images generated from 1,399 clear images. This dataset enables researchers to develop and evaluate dehazing algorithms by providing a large and diverse set of synthetic hazy images, facilitating advancements in image restoration techniques.	Indoor Training Set (ITS)	
cited_context | citing_context	Instructir	https://doi.org/10.48550/arXiv.2410.15067 (2024)	https://doi.org/10.48550/arXiv.2401.13221 (2024)	The InstructIR dataset is used to assess and evaluate instruction-based image restoration methods, focusing on the ability to follow complex restoration commands. It enables researchers to test and compare different approaches in executing detailed restoration tasks, ensuring that the methodologies can accurately interpret and apply complex instructions to restore images.; The InstructIR dataset is used for instruction-based image restoration, enhancing images according to specific human instructions. It evaluates high-quality image restoration methods, focusing on diverse restoration tasks and techniques. This dataset enables researchers to assess and improve image restoration models guided by detailed instructions, ensuring more precise and contextually appropriate image enhancements.	InstructIR	
cited_context	IPT Dataset	https://doi.org/10.1007/978-3-031-20071-7_4 (2021)	https://doi.org/10.1109/CVPR46437.2021.01212 (2020)	The IPT Dataset is used for training and evaluating image processing transformers, specifically focusing on restoration tasks. It enables researchers to assess performance metrics, ensuring that models can effectively restore images. This dataset supports the development and refinement of image restoration techniques through rigorous evaluation.		
cited_context	ISTD	https://doi.org/10.48550/arXiv.2203.06074 (2022)	https://doi.org/10.1109/CVPR.2018.00182 (2018)	The ISTD dataset is primarily used for shadow removal in images, enhancing overall image quality by effectively reducing shadow effects. This dataset supports research focused on improving visual clarity and detail in images affected by shadows. The methodologies employed involve techniques to identify and mitigate shadow impacts, contributing to advancements in image restoration and enhancement.		
cited_context | citing_context	Its	https://doi.org/10.1109/TCSVT.2023.3299324 (2024)	https://doi.org/10.1109/CVPR.2018.00079 (2018)	The ITS dataset is primarily used for training and evaluating haze removal algorithms, specifically focusing on indoor synthetic hazy images. Researchers employ this dataset to develop and test algorithms that enhance image clarity by removing haze, addressing the challenge of improving visual quality in hazy conditions. The synthetic nature of the dataset allows for controlled experimentation and robust algorithm validation.; The ITS dataset is primarily used for training and evaluating image deraining algorithms, specifically focusing on indoor scenes with synthetic rain. It enables researchers to assess the performance of deraining techniques in controlled, synthetic environments, ensuring that the algorithms can effectively remove rain artifacts from images. This dataset supports the development and refinement of image restoration methods tailored to indoor settings.	ITS	
cited_context	ITS dataset	https://doi.org/10.1145/3664647.3681621 (2024)	https://doi.org/10.1109/TIP.2018.2867951 (2017)	The ITS dataset is primarily used for dehazing tasks in image restoration research. It provides images with varying levels of haze, enabling researchers to evaluate the performance of dehazing algorithms. The dataset's diverse haze conditions facilitate the testing and validation of restoration techniques, ensuring robustness across different scenarios.		
cited_context	JPEG Artifacts	https://doi.org/10.1109/CVPRW53098.2021.00027 (2021)	https://doi.org/10.1109/CVPRW53098.2021.00025 (2021)	The JPEG Artifacts dataset is used to evaluate image restoration methods, particularly in reducing JPEG compression artifacts. It features images with a PSNR of 29.70, which helps researchers assess the effectiveness of their restoration techniques. This dataset enables the comparison and validation of different methods aimed at improving image quality post-compression.		
citing_context	JRSRD	https://doi.org/10.1109/TCSVT.2024.3519352 (2025), https://doi.org/10.1109/TCSVT.2024.3516074 (2024)	https://doi.org/10.48550/arXiv.2212.11548 (2022)	The JRSRD dataset is used for restoring images degraded by rain and other real-world factors, enhancing performance in challenging environments. It is specifically leveraged to evaluate deraining performance, providing images with rain streaks and raindrops to test the effectiveness of all-in-one image restoration models. This dataset enables researchers to assess and improve the robustness of image restoration techniques in realistic conditions.		
cited_context	Jung’s dataset	https://doi.org/10.1109/CVPR52733.2024.01482 (2024)	https://doi.org/10.1109/CVPR.2018.00252 (2018)	Jung’s dataset is used as a testing set for image restoration, contributing 87 images to evaluate the performance of proposed methods. It is specifically employed to assess the effectiveness of restoration techniques, ensuring robust evaluation through its diverse image content. This dataset enables researchers to validate their models against a standardized set of images, facilitating comparative analysis and benchmarking.		
cited_context	Kligler’s dataset	https://doi.org/10.1109/CVPR52733.2024.01482 (2024)	https://doi.org/10.1109/CVPR.2018.00252 (2018)	Kligler’s dataset is used as part of the testing set for image restoration, providing 300 images to evaluate the performance of proposed methods. It contributes to assessing the effectiveness and robustness of image restoration techniques by offering a diverse set of images for validation.		
cited_context	Kodak	https://doi.org/10.1109/CVPR52729.2023.01753 (2023), https://doi.org/10.1109/TMM.2024.3407656 (2024)	https://doi.org/10.1109/TIP.2016.2574984 (2016)	The Kodak dataset is used in research for evaluating image denoising and restoration techniques. It serves as test data to assess the effectiveness of denoising methods on high-quality images and to compare the performance of various restoration models, including GRL-S, with a focus on PSNR scores. This dataset enables researchers to benchmark and validate their algorithms against a standardized set of images.		
cited_context | citing_context	Kodak24	https://doi.org/10.1109/TCSI.2024.3519532 (2025), https://doi.org/10.1109/CVPR52729.2023.00564 (2023), https://doi.org/10.48550/arXiv.2403.14614 (2024) (+2), https://doi.org/10.1007/s11263-023-01843-5 (2023), https://doi.org/10.48550/arXiv.2405.02843 (2024), https://doi.org/10.1109/CVPR52688.2022.00564 (2021) (+10)	https://doi.org/10.1109/ICCV.2001.937655 (2001)	The Kodak24 dataset is primarily used for image denoising and restoration research, serving as a benchmark for evaluating the effectiveness of various algorithms. It provides a standard set of 24 high-quality, diverse, and natural images, enabling researchers to assess the preservation of color and detail under different noise conditions. The dataset supports both visual and quantitative evaluations, facilitating comparisons between different denoising and restoration methods.; The Kodak24 dataset is primarily used for evaluating image denoising and restoration algorithms. It provides a standard set of high-quality images for both visual and quantitative assessments, focusing on color fidelity and detail preservation. Researchers use it to test and compare the effectiveness of their methods, often under controlled conditions, and to measure performance using established image quality metrics.	Kodak24	
cited_context	Kohler dataset	https://doi.org/10.1109/ICCV.2019.00897 (2019)	https://doi.org/10.1007/978-3-642-33786-4_3 (2012)	The Kohler dataset is used to benchmark blind deconvolution algorithms, focusing on evaluating their performance on real-world images blurred with various kernels. This dataset enables researchers to assess algorithm effectiveness in restoring images degraded by different types of blurring, providing a robust testbed for image restoration methodologies.		
cited_context	Lai dataset	https://doi.org/10.1109/ICCV.2019.00897 (2019)	https://doi.org/10.1109/CVPR.2016.188 (2016)	The Lai dataset is used to evaluate single image blind deblurring methods, featuring real-world blurry images of varying qualities and resolutions across diverse scenes. It enables researchers to assess the effectiveness of deblurring algorithms in handling natural, uncontrolled conditions, providing a robust benchmark for performance evaluation.		
citing_context	Lai [18]	https://doi.org/10.48550/arXiv.2505.21637 (2025)	https://doi.org/10.1109/NCC.2015.7084843 (2015)	The Lai [18] dataset is used to evaluate image restoration performance, specifically addressing issues of blur and noise. Researchers employ metrics such as PSNR, SSIM, LPIPS, and FID to assess the effectiveness of restoration techniques. This dataset enables rigorous quantitative analysis, facilitating comparisons between different image restoration methods.		
cited_context	LAION Art dataset	https://doi.org/10.48550/arXiv.2409.15278 (2024)	https://doi.org/10.48550/arXiv.2210.08402 (2022)	The LAION Art dataset is used to gather high-quality natural images from the Internet for image restoration experiments. It enhances the diversity and quality of training data, which is crucial for improving the performance and robustness of image restoration models. This dataset supports research focused on enhancing image quality and addressing various degradation issues in images.		
cited_context	Laion-50K	https://doi.org/10.48550/arXiv.2306.05390 (2023)		The Laion-50K dataset is used to evaluate the performance of DAMoE, specifically focusing on image restoration quality and efficiency. It serves as a benchmark to compare different models and methodologies in the field of image restoration, enabling researchers to assess and enhance the effectiveness of their techniques.		
cited_context	LAION-5B	https://doi.org/10.1109/CVPR52733.2024.02425 (2024), https://doi.org/10.48550/arXiv.2306.05390 (2023)	https://doi.org/10.48550/arXiv.2210.08402 (2022)	The LAION-5B dataset is used to evaluate and compare image quality against other large datasets, emphasizing the importance of high-quality images for restoration tasks. It highlights the limitations of large-scale, high-resolution datasets in providing sufficient texture information for training restoration models. Additionally, it serves as a foundation for multimodal pretraining, aiding in the creation of specialized restoration datasets.		
cited_context	Laion-Figure HR	https://doi.org/10.48550/arXiv.2306.05390 (2023)		The Laion-Figure HR dataset, a high-resolution subset of Laion-5B, is used in research to demonstrate the limitations of texture information in training effective image restoration models. This dataset helps researchers identify and address the insufficiencies in current training methodologies, contributing to the development of more robust restoration techniques.		
cited_context | citing_context	Laion-High-Resolution	https://www.semanticscholar.org/paper/7d7712fbd2f7cdda845c176b03b84f2df93a8b2f (2025)	https://doi.org/10.48550/arXiv.2210.08402 (2022)	The Laion-High-Resolution dataset is used to select high-quality, diverse images for image restoration experiments, specifically focusing on enhancing image resolution and quality. Researchers employ this dataset to evaluate and improve image restoration techniques, leveraging its rich and varied content to ensure robust and effective enhancement methods.; The Laion-High-Resolution dataset is used to select high-quality, diverse images for image restoration experiments. Researchers focus on enhancing image clarity and detail by leveraging the dataset's rich, high-resolution content. This enables the development and evaluation of advanced image restoration techniques, ensuring robust performance across a wide range of image types and conditions.	Laion-High-Resolution	
cited_context | citing_context	Laion-Hr	https://doi.org/10.48550/arXiv.2404.02154 (2024), https://doi.org/10.48550/arXiv.2404.02154 (2024), https://doi.org/10.48550/arXiv.2306.05390 (2023)	https://doi.org/10.1109/CVPRW53098.2021.00074 (2021)	The Laion-HR dataset is used for large-scale image restoration, providing millions of high-resolution images to enhance the generalization and performance of restoration models. This dataset enables researchers to train and evaluate models on a diverse set of high-quality images, improving the robustness and effectiveness of image restoration techniques.; The Laion-HR dataset is used for training and evaluating image restoration models, particularly focusing on high-resolution image enhancement. It serves as a large-scale, high-quality visual content subset of Laion-5B, enabling researchers to develop and test advanced image restoration techniques. This dataset's massive size and high resolution are crucial for improving the performance and robustness of image restoration models.	Laion-HR	
cited_context	Laion400M	https://doi.org/10.1109/TPAMI.2024.3461721 (2024)	https://www.semanticscholar.org/paper/b668ce936cff0b0ca8b635cd5f25a62eaf4eb3df (2021)	The Laion400M dataset is used to pre-train the CLIP model, leveraging its large-scale collection of image-text pairs to enhance the model's generalization ability in image restoration tasks. This pre-training approach helps improve the performance and robustness of image restoration models by providing diverse and extensive data.		
cited_context	LFW-Test	https://doi.org/10.48550/arXiv.2308.15070 (2023)	https://doi.org/10.1109/ICCV.2015.425 (2014)	The LFW-Test dataset is primarily used to evaluate the BFR (Blur, Face Recognition) method on real-world face images. It assesses performance in diverse lighting and pose conditions, focusing on face recognition and restoration tasks. The dataset's real-world images enable researchers to test and improve the robustness of face recognition systems under varied and challenging conditions.		
citing_context	LHP	https://doi.org/10.48550/arXiv.2506.16960 (2025), https://doi.org/10.48550/arXiv.2411.17687 (2024), https://doi.org/10.48550/arXiv.2505.18047 (2025) (+1)	https://doi.org/10.1109/CVPR52729.2023.02083 (2023)	The LHP dataset is primarily used for evaluating and improving real-world de-raining techniques, focusing on the performance of image restoration methods under varying rain intensities and environmental conditions. It is also utilized to test the generalization capability of models on under-display camera images and to assess their effectiveness in handling low-light and high-dynamic-range images. The dataset provides a diverse set of images, enabling researchers to enhance and evaluate deraining and low-light image enhancement methods.		
citing_context	LHP-/Real-Rain-Val	https://doi.org/10.48550/arXiv.2503.09403 (2025)	https://doi.org/10.1109/CVPR.2018.00182 (2018)	The LHP-/Real-Rain-Val dataset is used for validating image deraining models by providing rain-degraded and clean image pairs. This enables researchers to assess the effectiveness of deraining algorithms in restoring images to their original quality, focusing on the accuracy and performance of these models in removing rain artifacts.		
citing_context	LHP-Rain	https://doi.org/10.48550/arXiv.2503.09403 (2025)	https://doi.org/10.1109/CVPR.2018.00182 (2018)	The LHP-Rain dataset is used for evaluating rain removal algorithms in image restoration. It consists of 20 paired images, which researchers use to assess the performance of these algorithms. The dataset enables the comparison of different methods by providing ground truth images, facilitating the analysis of effectiveness in rain removal tasks.		
